Date,Open,High,Low,Close,Volume,Lag_1,Lag_7,Lag_30,Rolling_Mean_7,Rolling_STD_7,Rolling_Mean_30,Day_of_Week,Month,Quarter,Close_Diff
2023-07-13 00:00:00+09:00,2013.052995764991,2041.974851804488,2001.5760687651905,2030.4979248046875,19826600,,,,,,,3,7,3,
2023-07-14 00:00:00+09:00,2037.8429293275633,2048.40170098211,2017.184463046928,2036.4656982421875,21578800,2030.4979248046875,,,,,,4,7,3,5.9677734375
2023-07-18 00:00:00+09:00,2032.7932754516603,2063.5514392852783,2030.956967163086,2056.665283203125,18107200,2036.4656982421875,,,,,,1,7,3,20.1995849609375
2023-07-19 00:00:00+09:00,2080.9964336926423,2103.4912109375,2079.6192024327534,2103.4912109375,22597800,2056.665283203125,,,,,,2,7,3,46.825927734375
2023-07-20 00:00:00+09:00,2103.950297313535,2121.854303771145,2088.800753387865,2099.818603515625,21073000,2103.4912109375,,,,,,3,7,3,-3.672607421875
2023-07-21 00:00:00+09:00,2101.6550633965167,2112.6729143186476,2090.6372124743853,2100.27783203125,20284200,2099.818603515625,,,,,,4,7,3,0.459228515625
2023-07-24 00:00:00+09:00,2127.3632040368507,2142.053670702621,2118.6407394540493,2133.790283203125,23557600,2100.27783203125,,,2080.1438337053573,39.0283105467665,,0,7,3,33.512451171875
2023-07-25 00:00:00+09:00,2126.9042309065267,2152.612548828125,2122.3134598490983,2152.612548828125,23265300,2133.790283203125,2030.4979248046875,,2097.58877999442,40.40620721411999,,1,7,3,18.822265625
2023-07-26 00:00:00+09:00,2128.28148467781,2135.62671844719,2116.804556913154,2131.9541015625,19436200,2152.612548828125,2036.4656982421875,,2111.22998046875,31.459861303741224,,2,7,3,-20.658447265625
2023-07-27 00:00:00+09:00,2125.5268124377153,2138.380970266712,2114.968039935325,2130.57666015625,18487400,2131.9541015625,2056.665283203125,,2121.788748604911,20.635374057157314,,3,7,3,-1.37744140625
2023-07-28 00:00:00+09:00,2101.195721409125,2136.5446553283955,2078.241868214793,2120.93603515625,37405600,2130.57666015625,2103.4912109375,,2124.2808663504466,19.049779764276888,,4,7,3,-9.640625
2023-07-31 00:00:00+09:00,2157.662030177664,2190.715576171875,2156.2847990945716,2190.715576171875,44133500,2120.93603515625,2099.818603515625,,2137.2661481584823,28.320223089468275,,0,7,3,69.779541015625
2023-08-01 00:00:00+09:00,2201.7338650550755,2262.332044827234,2191.6341684263825,2245.34619140625,68906000,2190.715576171875,2100.27783203125,,2157.9901994977677,44.94249345207962,,1,8,3,54.630615234375
2023-08-02 00:00:00+09:00,2238.918800925637,2340.374830247877,2220.555718695367,2297.6806640625,78801100,2245.34619140625,2133.790283203125,,2181.4031110491073,67.34192014959723,,2,8,3,52.33447265625
2023-08-03 00:00:00+09:00,2273.349863301532,2274.268017527421,2204.4882963598457,2210.456298828125,44187800,2297.6806640625,2152.612548828125,,2189.66650390625,66.76677176703822,,3,8,3,-87.224365234375
2023-08-04 00:00:00+09:00,2209.9970309495193,2255.4456612079325,2204.9471831430287,2238.000732421875,30038200,2210.456298828125,2131.9541015625,,2204.8160226004466,63.437280992598964,,4,8,3,27.54443359375
2023-08-07 00:00:00+09:00,2232.491823087152,2255.904753989362,2225.6056669394434,2243.96875,19853700,2238.000732421875,2130.57666015625,,2221.014892578125,55.272598885328534,,0,8,3,5.968017578125
