Date,Open,High,Low,Close,Volume,Lag_1,Lag_7,Lag_30,Rolling_Mean_7,Rolling_STD_7,Rolling_Mean_30,Day_of_Week,Month,Quarter,Target
2023-08-30 00:00:00+09:00,2249.018721357082,2261.872880205418,2240.2962564242825,2255.44580078125,19036300,2232.491943359375,2163.63037109375,2056.66552734375,2222.7856096540177,20.03963006112789,2190.8382242838543,2,8,3,2309.15771484375
2023-08-31 00:00:00+09:00,2263.2500067951664,2317.421102292495,2261.413698473223,2309.15771484375,39487900,2255.44580078125,2218.719482421875,2103.490966796875,2235.7053571428573,38.04534285106768,2197.693782552083,3,8,3,2313.28955078125
2023-09-01 00:00:00+09:00,2281.613230280376,2318.3393989770416,2279.7769218455423,2313.28955078125,23445600,2309.15771484375,2213.2109375,2099.818603515625,2250.0023018973216,46.12876625670969,2204.8094807942707,4,9,3,2384.905517578125
2023-09-04 00:00:00+09:00,2332.111651452719,2386.741825965096,2331.193497259234,2384.905517578125,33250800,2313.28955078125,2203.569580078125,2100.277587890625,2275.9074358258927,63.39364670674674,2214.297078450521,0,9,3,2377.10107421875
2023-09-05 00:00:00+09:00,2387.2007697832178,2395.9232341343486,2354.1472206631424,2377.10107421875,28061100,2384.905517578125,2198.97900390625,2133.7900390625,2301.353445870536,63.11655815487166,2222.4074462890626,1,9,3,2434.02685546875
2023-09-06 00:00:00+09:00,2393.6280694858665,2445.9628604182385,2392.250838145541,2434.02685546875,31630100,2377.10107421875,2237.08251953125,2152.612548828125,2329.488351004464,72.83848675156034,2231.7879231770835,2,9,3,2421.17236328125
2023-09-07 00:00:00+09:00,2439.535445293243,2452.8486797519377,2417.4997468788515,2421.17236328125,26184700,2434.02685546875,2232.491943359375,2131.953857421875,2356.442696707589,65.50390402955111,2241.4285400390627,3,9,3,2389.955322265625
2023-09-08 00:00:00+09:00,2397.300555680195,2428.9768747805265,2385.364551381519,2389.955322265625,30458600,2421.17236328125,2255.44580078125,2130.576416015625,2375.6583426339284,48.44688570167691,2250.074503580729,4,9,3,2382.610107421875
2023-09-11 00:00:00+09:00,2396.8414972735277,2403.72765365336,2374.3467197660766,2382.610107421875,16439600,2389.955322265625,2309.15771484375,2120.93603515625,2386.151541573661,38.5958706219668,2258.79697265625,0,9,3,2439.535888671875
2023-09-12 00:00:00+09:00,2409.2367978453144,2442.2903514742898,2404.646026507957,2439.535888671875,21560000,2382.610107421875,2313.28955078125,2190.716064453125,2404.1867327008927,26.46377824594859,2267.090966796875,1,9,3,2485.90234375
2023-09-13 00:00:00+09:00,2439.5355594990765,2492.7884998268696,2434.0266346375806,2485.90234375,29244700,2439.535888671875,2384.905517578125,2245.34619140625,2418.6148507254466,38.83827806582483,2275.1095052083333,2,9,3,2523.087646484375
2023-09-14 00:00:00+09:00,2493.247636109287,2531.351033972861,2473.5073215534594,2523.087646484375,31358600,2485.90234375,2377.10107421875,2297.680908203125,2439.4700753348216,50.32736120971161,2282.6230631510416,3,9,3,2590.57177734375
2023-09-15 00:00:00+09:00,2559.813615181419,2609.3939362789074,2552.9274594734347,2590.57177734375,49241800,2523.087646484375,2434.02685546875,2210.455810546875,2461.8336356026784,75.8268352129849,2295.293595377604,4,9,3,2644.283935546875
2023-09-19 00:00:00+09:00,2576.7996059417724,2649.3337833404544,2568.9952957153323,2644.283935546875,40156000,2590.57177734375,2421.17236328125,2238.00048828125,2493.706717354911,99.1814609110844,2308.836376953125,1,9,3,2569.9130859375
2023-09-20 00:00:00+09:00,2662.6466413786175,2673.205412542705,2568.076777908963,2569.9130859375,42976800,2644.283935546875,2389.955322265625,2243.96875,2519.414969308036,90.77300647853852,2319.7011881510416,2,9,3,2557.5185546875
2023-09-21 00:00:00+09:00,2569.913636535743,2602.9671881310583,2547.8779354722,2557.5185546875,25747000,2569.9130859375,2382.610107421875,2225.146728515625,2544.4018903459823,68.07388345675052,2330.7802490234376,3,9,3,2560.27294921875
2023-09-22 00:00:00+09:00,2524.464935942963,2580.931418416319,2511.151700237863,2560.27294921875,28714900,2557.5185546875,2439.535888671875,2199.4384765625,2561.6500418526784,49.96138966432464,2342.808064778646,4,9,3,2535.482666015625
2023-09-25 00:00:00+09:00,2557.0592883771556,2560.7319049493312,2516.201429011704,2535.482666015625,21522300,2560.27294921875,2485.90234375,2230.1962890625,2568.7329450334823,39.94305928695153,2352.98427734375,0,9,3,2494.165771484375
2023-09-26 00:00:00+09:00,2538.6962481701808,2540.073479407886,2485.9023840581426,2494.165771484375,26603400,2535.482666015625,2523.087646484375,2210.915283203125,2564.601248604911,46.42190861189359,2362.425960286458,1,9,3,2523.087646484375
2023-09-27 00:00:00+09:00,2479.0162465457834,2526.301186063231,2457.898700741875,2523.087646484375,31403100,2494.165771484375,2590.57177734375,2221.014892578125,2554.9606584821427,47.13152792570101,2372.495052083333,2,9,3,2511.9482421875
2023-09-28 00:00:00+09:00,2524.9442789172213,2549.5439198699073,2485.956168728058,2511.9482421875,32137100,2523.087646484375,2644.283935546875,2176.484375,2536.0555594308034,27.981798508437752,2383.677180989583,3,9,3,2485.491943359375
2023-09-29 00:00:00+09:00,2523.08761981355,2531.9063587349,2483.635366744354,2485.491943359375,33276200,2511.9482421875,2569.9130859375,2182.45263671875,2523.9953962053573,29.126450454575743,2393.7784912109373,4,9,3,2494.310791015625
2023-10-02 00:00:00+09:00,2506.8426837133215,2549.543947720288,2491.0617817977036,2494.310791015625,28738800,2485.491943359375,2557.5185546875,2156.744140625,2514.9657156808034,26.698091113161304,2405.030712890625,0,10,4,2418.19091796875
